water_year,Yolo_activation,FA_Tim,FA_Mag,FA_Dur,FA_pulse_dif,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_BFL_Dur,Wet_Tim,Peak_Dur_2,Peak_Fre_2,Peak_Dur_5,Peak_Dur_10,Peak_Fre_5,Peak_Fre_10,SP_Tim,SP_Mag,SP_ROC,SP_Dur,DS_Dur_WS,DS_Mag_50,DS_Tim,DS_7d_Low_Mag,DS_7d_Low_Tim
2007,0,75,18928,6,12479,6378.5,7494,206,86,0,0,0,0,0,0,292,10948,0.013645931,5,164,6449,297,5298.857143,437
2008,0,,,,0,6178.8,8321,53,95,0,0,0,0,0,0,148,30523,0.051462503,13,339,6257.5,161,4286.714286,434
2009,0,,,,0,5648.6,6506,84,134,0,0,0,0,0,0,218,13393,0.063276054,8,242,6121,226,3563.857143,430
2010,1,,,,0,6500.5,8985,146,103,2,2,0,0,0,0,249,14073,0.029125857,38,144,5832.5,287,5162.428571,382
2011,1,25,10246,2,1378,7833.5,13148.5,184,65,14,1,0,0,0,0,249,25087,0.016838427,37,191,8868,286,5481.857143,452
2012,0,,,,0,5753.2,8779,199,111,0,0,0,0,0,0,310,11201,0.025787349,20,95,6030,330,5162.571429,405
2013,1,49,9638,2,3991,6004,8443,223,59,1,1,0,0,0,0,282,11417,0.020798831,7,201,5647,289,4097.857143,423
2014,0,,,,0,4257,6086,176,124,0,0,0,0,0,0,300,7225,0.019873877,54,82,5117.5,354,4549.714286,373
2015,0,62,8178,3,2970,5417.5,6408.5,60,70,1,1,1,0,1,0,130,38897,0.035182794,22,292,5208,152,3975.142857,178
2016,1,72,9541,2,2716,6103,11099,96,78,4,2,0,0,0,0,174,40022,0.037954626,74,187,6825,248,5351.714286,255
2017,1,33,12725,3,5421,14021.8,47568.5,78,69,40,4,8,2,6,1,147,100965,0.055407713,80,301,7304,227,4616.857143,442
2018,,,,,0,6176.75,7633.125,143,162,1,1,0,0,0,0,305,9948.5,0.015505413998521877,14,,,319,3756.005952380952,405
2019,,61,13616,3,5636,6378,22570.5,116,76,49,8,11,7,4,4,191,55864,0.035047178894665895,84,172,7980,276,4223,403
2020,,69,17730.083333333332,2,17730.08333,5562.658333333333,7753.752717391304,214,82,0,0,0,0,0,0,296,9725.166666666666,0.023229559,42,,,338,3622.095238095238,428
2022,,25,40221.75,4,36402.45833,3638.0833333333335,5544.541666666667,61,39,0,0,0,0,0,0,100,10840.125,0.034795055,11,341,3819.2916666666665,111,3284.8465320910973,346
2023,,67,7957.208333333333,3,1329.3125,6023.3125,11398.375,94,86,14,4,1,0,1,0,180,29297.083333333332,0.063700801,48,216,6627.895833333334,228,4376.896221532091,408
2024,,,,,0,7575.291666666667,22389.791666666668,87,78,13,3,0,0,0,0,165,26789.166666666668,0.077845945,40,,,205,6429.815476190477,361
